47pF,1,"C32"
100pF,1,"C31"
10uF 10V,3,"C30 C35 C39"
220uF 16V,2,"C23 C34"
330uF 10V,1,"C28"
0.1,32,"C1 C2 C3 C4 C5 C6 C7 C8 C9 C10 C11 C12 C13 C14 C15 C16 C17 C18 C19 C20 C21 C22 C24 C25 C26 C27 C29 C33 C36 C37 C38 C40"
MURS320,1,"D1"
POWER,1,"D2"
CONN_1,21,"HOLE1 HOLE2 HOLE3 P2 P9 P10 P12 P13 P14 P15 P16 P17 P18 P20 P21 P22 P23 P33 P34 P35 P36"
CPUSPEED,1,"JP1"
744065220,1,"L1"
JTAG,1,"P3"
DC_IN,1,"P4"
FC,1,"P5"
CODE DOWNLOAD,1,"P6"
SPISPARE,1,"P7"
FLM1,1,"P19"
FLM2,1,"P25"
GND,5,"P26 P27 P28 P29 P30"
GFP,1,"P1"
BC847,1,"Q1"
0,2,"R20 R21"
100,2,"R15 R16"
1K,1,"R12"
10K,14,"R1 R2 R3 R4 R5 R6 R7 R8 R9 R10 R11 R13 R14 R19"
RESET,1,"SW1"
8086,1,"U1"
74AHCT16245,1,"U9"
KF33B,1,"U12"
XC95216,1,"U2"
27C4002,1,"U3"
7W-30.000MAB-T,1,"U4"
ADM13305-33ARZ,1,"U5"
M25P80-VMW6G,1,"U6"
CY7C1041D,1,"U7"
AD7490,1,"U8"
SC16C554,1,"U10"
LM2596-5.0,1,"U11"
TP3465,1,"U13"
TXB0106,1,"U14"
7W-24.000MAB-T,1,"U15"
PCF8584,1,"U16"
LFXTAL010689,1,"X1"
